bloco;uap;code;ual;Floresta/interface;linha;declividade;formiga;samam;herb;cipo;arbus;arvor;serap;abdoss;drh;dafl;alt;lats;lonw
3;9;E_CCB;17;i;31sam;5.416666667;1;0;39.91666667;0;3.166666667;8.416666667;0.841666667;48.01;519.01;50.41;113.25;-28.52945;-55.4284125
3;8;E_CAR1;15;i;31sb;4.5;1.666666667;2;27.58333333;2.916666667;1.666666667;16;1.416666667;53.34666667;71.6275;594.72875;92.125;-30.93725;-53.0197125
1;3;E_FSI;5;i;31sf;8.75;13.33333333;0;51.83333333;2.833333333;3;2.333333333;1.541666667;35.32333333;54.53;56.35;125.75;-29.62809538;-55.14408288
2;6;E_CSR;11;i;31sl;4.083333333;19;0;30.33333333;7.083333333;19.66666667;9.083333333;1.383333333;57.63;52.38;117.04;263.25;-30.72278125;-55.51325125
2;4;E_CAL;7;i;31t;9.833333333;5;16.75;37.83333333;0;1.5;4.833333333;1.458333333;19.86;71.72;13.39;879.00;-29.0136905;-50.394007
1;1;E_FAR;2;i;32a;5.75;0.333333333;0;43.5;0;8.416666667;0.75;0.875;73.52;24.32;28.93;969.63;-29.16484425;-50.05035088
2;5;E_CAR2;10;i;32e;5.583333333;7;0;32.41666667;0;20.66666667;12.5;0.683333333;54.87;143.86;77.47;391.13;-30.56440613;-52.55722438
1;2;E_CAR3;4;i;32h;5.916666667;1;0;43.33333333;0;35.75;0;1.916666667;69.31;178.99;36.27;252.13;-32.0930605;-53.61820763
3;7;E_FTR_FAR;14;i;32p;6.5;0;1.5;85;0;18.58333333;1.333333333;3.166666667;76.10666667;26.44625;55.42;928.125;-29.4793875;-50.2077125
3;9;E_CCB;18;i;32sam;4.333333333;1.333333333;0;35.58333333;6.75;7;4.666666667;0.875;62.61333333;893.965;118.79;122;-28.5312;-55.4189
3;8;E_CAR1;16;i;32sb;3.75;0.666666667;0;18.75;0;1.75;8;0.658333333;65.55666667;105.7075;116.07;89.25;-30.92475;-53.0287
1;3;E_FSI;6;i;32sf;11.25;8;0;31.33333333;1.583333333;0;5.916666667;0.208333333;45.84;128.78;540.11;111.38;-29.62887975;-55.13100238
2;6;E_CSR;12;i;32sl;6.416666667;10.66666667;2.25;25;0.5;19.58333333;16.25;1.891666667;34.25;143.24;29.45;312.88;-30.71556625;-55.51024863
2;4;E_CAL;8;i;32t;17.25;3.666666667;4.833333333;110.3333333;0;2.5;2.166666667;0.916666667;57.92;57.86;24.28;767.25;-29.02012788;-50.39727313
1;1;E_FAR;1;i;41a;11.41666667;0;0.833333333;31;0;14.75;5.416666667;3.541666667;50.36;60.62;19.62;1005.75;-29.16464763;-50.06433913
2;5;E_CAR2;9;i;41e;5.833333333;6.333333333;1.916666667;41;2.416666667;2.25;21.16666667;2.125;13.77;45.92;27.24;393.88;-30.5568515;-52.56766863
1;2;E_CAR3;3;i;41h;9;0.333333333;2.666666667;47.16666667;0.833333333;40.33333333;6.666666667;2.208333333;24.66;39.40125;22.63;245.5;-32.09276825;-53.62464963
3;7;E_FTR_FAR;13;i;41p;3.333333333;0;5.833333333;62.75;0;3.916666667;30.66666667;4.166666667;11.11333333;45.2175;354.47;924.125;-29.486775;-50.2033125
3;9;E_CCB;17;i;41sam;7.083333333;0;0;44.5;3.583333333;4.583333333;2.833333333;1.391666667;16.45666667;521.7225;31.44;115.375;-28.52945;-55.428625
3;8;E_CAR1;15;i;41sb;4.75;2.333333333;0;25.33333333;4;15.25;19.33333333;1.708333333;33.89;82.02;591.89;93.00;-30.9370625;-53.0197
1;3;E_FSI;5;i;41sf;10.83333333;13.33333333;1.083333333;39.66666667;8.5;12.91666667;4;3;15.55;38.81;43.13;125.88;-29.62792625;-55.14409875
2;6;E_CSR;11;i;41sl;5.5;11.33333333;0.333333333;25.41666667;0;19.33333333;10;2;33.39;54.69;103.46;263.00;-30.72296125;-55.51319763
2;4;E_CAL;7;i;41t;13.33333333;2;6.583333333;32.5;0.583333333;0;13.33333333;0.933333333;49.94;54.66;17.68;878.50;-29.01351;-50.39395288
1;1;E_FAR;2;i;42a;6.833333333;0.333333333;0;28.08333333;0;27.5;8.916666667;1.233333333;29.24666667;35.88375;31.9625;971;-29.16494263;-50.0505175
2;5;E_CAR2;10;i;42e;11.08333333;4.666666667;0;26.33333333;0.5;0;1.583333333;0.866666667;29.6;128.8475;92.59;391.125;-30.56427225;-52.55709513
1;2;E_CAR3;4;i;42h;10.33333333;0;0;43.58333333;3.75;21.58333333;2.166666667;2.833333333;26.82666667;163.30875;29.41;251.125;-32.09319388;-53.61834138
3;7;E_FTR_FAR;14;i;42p;5.166666667;0;1.666666667;54.91666667;0.916666667;17.41666667;5.25;4.083333333;44.46;42.94;62.44;926.88;-29.4792125;-50.207775
3;9;E_CCB;18;i;42sam;3.75;0.333333333;0;44.41666667;3.666666667;2.75;1.666666667;1.225;9.79;905.52;99.04;124.75;-28.5314;-55.4189
3;8;E_CAR1;16;i;42sb;4.416666667;0;0;23.16666667;0;0;15.83333333;1.066666667;56.85;98.05;96.95;88.75;-30.9246;-53.0288
1;3;E_FSI;6;i;42sf;6.666666667;6.666666667;0;27.91666667;4.333333333;11.41666667;5.916666667;0.75;27.37;140.09;521.46;113.38;-29.628746;-55.131132
2;6;E_CSR;12;i;42sl;8.166666667;7.333333333;0;33.75;0.083333333;19.16666667;5.833333333;2.358333333;26.97;136.67;35.92;311.63;-30.71574525;-55.51026763
2;4;E_CAL;8;i;42t;15.41666667;1;12.5;55.25;0;20.75;0;1.166666667;28.07666667;40.23625;29.45;764.625;-29.01994888;-50.39720275
1;1;E_FAR;1;f;51a;5.166666667;0;1.25;38.66666667;0.416666667;0;32.75;5.125;25.62666667;51.04125;28.63;1004.375;-29.1644775;-50.06430263
2;5;E_CAR2;9;f;51e;10.08333333;6.666666667;3.166666667;32.25;0;6.583333333;30.08333333;1.916666667;12.27666667;29.185;23.95;395.75;-30.55667713;-52.56763638
1;2;E_CAR3;3;f;51h;9.666666667;0;4.083333333;36.75;0;19.25;10.16666667;2.583333333;18.17;47.10;19.60;243.63;-32.09293375;-53.62474175
3;7;E_FTR_FAR;13;f;51p;3.333333333;0;5.333333333;43.25;5.416666667;14.16666667;12.75;4.5;10.32;43.80;336.51;925.25;-29.4867125;-50.203125
3;9;E_CCB;17;f;51sam;7.083333333;0.333333333;0;18.25;2.25;3;1;1.583333333;10.36;526.06;16.61;117.63;-28.529475;-55.4288125
3;8;E_CAR1;15;f;51sb;3.583333333;0;1.333333333;24.33333333;3.583333333;6.75;3.666666667;2.583333333;11.03;91.91;586.83;94.00;-30.9369;-53.0196125
1;3;E_FSI;5;f;51sf;13.33333333;10.33333333;4.666666667;30.45833333;3.916666667;6.5;20.33333333;3.916666667;9.24;24.46;30.8325;126.75;-29.62775038;-55.1441155
2;6;E_CSR;11;f;51sl;3.833333333;2.333333333;0;31.41666667;6.5;7.416666667;5.416666667;2.041666667;14.90666667;59.5575;85.23;263.75;-30.7231465;-55.51315125
2;4;E_CAL;7;f;51t;19;0.666666667;9.25;35.41666667;0;5.583333333;17.66666667;1.875;10.98666667;36.76875;18.06;878.125;-29.01334925;-50.39391925
1;1;E_FAR;2;f;52a;3.833333333;0;0;25.45833333;8.333333333;19.66666667;7.75;2.5;25.62;44.44;43.71;972.38;-29.16506275;-50.05068038
2;5;E_CAR2;10;f;52e;7.583333333;2.666666667;2.333333333;31.5;0.416666667;2.5;18;1.958333333;12.40;114.18;107.22;391.13;-30.56413788;-52.556953
1;2;E_CAR3;4;f;52h;10.25;0;1.416666667;38.33333333;5.166666667;13.5;11.75;3.416666667;11.43;146.83;15.77;249.75;-32.09332725;-53.61848138
3;7;E_FTR_FAR;14;f;52p;6.083333333;0;5.166666667;46.41666667;2.916666667;15.08333333;17.66666667;5.666666667;11.98;60.85;48.00;924.63;-29.479025;-50.2078
3;9;E_CCB;18;f;52sam;6.25;1;0;19.25;4.666666667;1.583333333;1;1.808333333;10.99;914.74;79.80;127.63;-28.5316;-55.4189
3;8;E_CAR1;16;f;52sb;2.75;0;0;27.41666667;0;10.83333333;4.416666667;1.208333333;30.60333333;91.99;79.8525;88.625;-30.9244125;-53.0288
1;3;E_FSI;6;f;52sf;6.25;6.333333333;0;18;12.25;8.333333333;8;0.5;15.94333333;148.315;501.40;115.625;-29.62860863;-55.13128225
2;6;E_CSR;12;f;52sl;6.583333333;5;0;27.33333333;0.583333333;15;9.083333333;2.041666667;16.84;130.04;51.25;309.125;-30.715925;-55.51028825
2;4;E_CAL;8;f;52t;12.91666667;0;7.833333333;27.08333333;0;15.33333333;45.5;1.625;14.95;24.10;32.62;762.00;-29.01978013;-50.3971385
1;1;E_FAR;1;f;61a;1;0;8.166666667;27.08333333;12.5;7;54.41666667;5.208333333;14.56;43.52;34.26;1002.25;-29.16432038;-50.06425613
2;5;E_CAR2;9;f;61e;16.33333333;2;0.583333333;23.91666667;0;0;34.33333333;1.541666667;11.39;15.73;25.43;398.25;-30.55649713;-52.5675735
1;2;E_CAR3;3;f;61h;13.33333333;0;3.833333333;39.91666667;0.833333333;26.33333333;0.416666667;2.5;15.45;60.19;15.95;241.75;-32.093091;-53.62481675
3;7;E_FTR_FAR;13;f;61p;4.583333333;0;5.083333333;27.66666667;10.83333333;9.416666667;12.58333333;5.333333333;18.72;32.9475;317.26;926;-29.486625;-50.20295
3;9;E_CCB;17;f;61sam;7.083333333;0;0;14.91666667;12.33333333;1.333333333;1.833333333;2.041666667;11.26;528.28625;16.41;118.875;-28.5295;-55.429025
